word,decade,count,appear,topic,ps_articles,ps_words,t20_count,t20_appear,t20_topic,t20_articles,t20_words
clear,2000s,3237,754,57,868,7141270,25909,5984,495,7266,67070891
clear,2010s,6309,1468,116,1678,14295950,32584,7363,651,8647,84731684
clearly,1980s,1213,419,6,584,3177602,13730,4505,128,6430,46072214
clearly,1990s,1258,434,10,643,4529684,14463,4463,166,6242,52955592
clearly,2000s,2033,626,21,868,7141270,17088,5133,198,7266,67070891
clearly,2010s,3259,1149,25,1678,14295950,19223,6104,193,8647,84731684
close,1980s,286,166,0,584,3177602,4184,2263,13,6430,46072214
close,1990s,407,238,1,643,4529684,5670,2640,46,6242,52955592
close,2000s,997,380,8,868,7141270,7126,3228,43,7266,67070891
close,2010s,1757,771,16,1678,14295950,9678,4047,93,8647,84731684
closed,1980s,157,64,4,584,3177602,2989,999,56,6430,46072214
closed,1990s,236,87,3,643,4529684,4062,1131,89,6242,52955592
closed,2000s,318,112,4,868,7141270,5627,1410,121,7266,67070891
closed,2010s,596,239,9,1678,14295950,6430,1627,157,8647,84731684
closure,1980s,120,37,2,584,3177602,1308,378,32,6430,46072214
closure,1990s,273,47,5,643,4529684,2473,516,58,6242,52955592
closure,2000s,823,79,21,868,7141270,4435,772,117,7266,67070891
closure,2010s,2026,162,41,1678,14295950,8009,999,182,8647,84731684
cognition,1980s,116,46,1,584,3177602,1857,558,32,6430,46072214
cognition,1990s,286,89,4,643,4529684,3896,866,84,6242,52955592
cognition,2000s,457,159,8,868,7141270,5150,1135,116,7266,67070891
cognition,2010s,1551,384,37,1678,14295950,8996,1754,230,8647,84731684
cognitive,1980s,715,121,19,584,3177602,9379,1451,260,6430,46072214
cognitive,1990s,1881,234,51,643,4529684,16806,2102,442,6242,52955592
cognitive,2000s,2711,351,82,868,7141270,18939,2444,493,7266,67070891
cognitive,2010s,6436,758,164,1678,14295950,32140,3430,793,8647,84731684
cohen,1980s,68,27,1,584,3177602,1674,490,37,6430,46072214
cohen,1990s,113,36,2,643,4529684,1798,514,36,6242,52955592
cohen,2000s,619,119,16,868,7141270,3529,769,80,7266,67070891
cohen,2010s,847,240,10,1678,14295950,4686,1150,82,8647,84731684
coherence,1980s,448,58,7,584,3177602,3665,808,69,6430,46072214
coherence,1990s,492,103,11,643,4529684,4403,994,88,6242,52955592
coherence,2000s,959,136,14,868,7141270,6798,1100,101,7266,67070891
coherence,2010s,1227,280,21,1678,14295950,7281,1296,136,8647,84731684
coherent,1980s,191,96,2,584,3177602,2602,1192,22,6430,46072214
coherent,1990s,284,121,3,643,4529684,3535,1364,43,6242,52955592
coherent,2000s,566,200,7,868,7141270,4681,1689,64,7266,67070891
coherent,2010s,938,387,13,1678,14295950,5681,1943,99,8647,84731684
coin,1980s,83,35,1,584,3177602,1228,409,24,6430,46072214
coin,1990s,216,50,8,643,4529684,1603,495,41,6242,52955592
coin,2000s,311,68,7,868,7141270,3727,687,99,7266,67070891
coin,2010s,1414,144,36,1678,14295950,6231,886,160,8647,84731684
collection,1980s,181,64,2,584,3177602,2202,988,25,6430,46072214
collection,1990s,141,75,1,643,4529684,2707,1065,42,6242,52955592
collection,2000s,429,127,10,868,7141270,3663,1351,58,7266,67070891
collection,2010s,598,238,9,1678,14295950,4771,1620,74,8647,84731684
collective,1980s,163,20,4,584,3177602,2325,480,48,6430,46072214
collective,1990s,123,39,2,643,4529684,2629,580,53,6242,52955592
collective,2000s,349,53,6,868,7141270,5126,666,102,7266,67070891
collective,2010s,896,150,20,1678,14295950,6843,938,147,8647,84731684
color,1980s,360,80,10,584,3177602,4139,716,73,6430,46072214
color,1990s,1734,103,19,643,4529684,6948,763,114,6242,52955592
color,2000s,2643,150,41,868,7141270,12269,1009,207,7266,67070891
color,2010s,3601,322,55,1678,14295950,10702,1197,166,8647,84731684
colors,1980s,115,27,3,584,3177602,1326,316,26,6430,46072214
colors,1990s,688,39,10,643,4529684,2444,349,39,6242,52955592
colors,2000s,1078,86,22,868,7141270,4355,513,87,7266,67070891
colors,2010s,1049,179,22,1678,14295950,2820,564,46,8647,84731684
colour,1980s,79,21,1,584,3177602,2845,398,62,6430,46072214
colour,1990s,369,37,3,643,4529684,3526,472,66,6242,52955592
colour,2000s,780,65,12,868,7141270,7339,582,99,7266,67070891
colour,2010s,1196,137,16,1678,14295950,6161,741,91,8647,84731684
colours,1980s,37,15,1,584,3177602,905,236,19,6430,46072214
colours,1990s,180,21,1,643,4529684,1304,257,22,6242,52955592
colours,2000s,367,41,3,868,7141270,2673,313,45,7266,67070891
colours,2010s,348,55,5,1678,14295950,2255,355,29,8647,84731684
combination,1980s,170,71,3,584,3177602,2255,1089,24,6430,46072214
combination,1990s,212,123,2,643,4529684,2483,1321,21,6242,52955592
combination,2000s,437,211,4,868,7141270,3802,1876,31,7266,67070891
combination,2010s,877,452,5,1678,14295950,5627,2492,58,8647,84731684
come,1980s,840,349,2,584,3177602,12196,4171,121,6430,46072214
come,1990s,1376,457,13,643,4529684,14250,4365,186,6242,52955592
come,2000s,2247,652,31,868,7141270,17618,5178,257,7266,67070891
come,2010s,4433,1287,65,1678,14295950,22266,6359,315,8647,84731684
comes,1980s,518,274,3,584,3177602,6757,3213,26,6430,46072214
comes,1990s,745,357,5,643,4529684,8280,3537,46,6242,52955592
comes,2000s,1508,575,8,868,7141270,11778,4538,81,7266,67070891
comes,2010s,3313,1149,33,1678,14295950,16659,5822,164,8647,84731684
coming,1980s,271,98,5,584,3177602,2292,1261,19,6430,46072214
coming,1990s,267,139,2,643,4529684,2545,1400,19,6242,52955592
coming,2000s,456,211,6,868,7141270,3371,1730,28,7266,67070891
coming,2010s,890,426,8,1678,14295950,4030,2148,22,8647,84731684
commitment,1980s,253,101,4,584,3177602,4269,1418,77,6430,46072214
commitment,1990s,596,177,10,643,4529684,6809,1828,127,6242,52955592
commitment,2000s,1453,328,29,868,7141270,9521,2414,190,7266,67070891
commitment,2010s,2847,693,51,1678,14295950,12200,3067,222,8647,84731684
commitments,1980s,135,56,1,584,3177602,1967,711,30,6430,46072214
commitments,1990s,301,95,6,643,4529684,3263,1021,64,6242,52955592
commitments,2000s,916,192,20,868,7141270,5624,1405,103,7266,67070891
commitments,2010s,2206,515,44,1678,14295950,8453,2208,152,8647,84731684
committed,1980s,477,204,4,584,3177602,4794,2073,44,6430,46072214
committed,1990s,653,271,6,643,4529684,6307,2409,70,6242,52955592
committed,2000s,1590,434,30,868,7141270,9196,3030,129,7266,67070891
committed,2010s,2670,858,33,1678,14295950,11040,3811,149,8647,84731684
common,1980s,927,312,12,584,3177602,14662,3737,247,6430,46072214
common,1990s,1433,396,25,643,4529684,17468,4014,353,6242,52955592
common,2000s,2534,575,58,868,7141270,22086,4780,451,7266,67070891
common,2010s,4337,1125,76,1678,14295950,27073,6001,513,8647,84731684
commonsense,1980s,186,42,6,584,3177602,1490,454,29,6430,46072214
commonsense,1990s,265,68,6,643,4529684,2302,652,49,6242,52955592
commonsense,2000s,426,116,6,868,7141270,2230,701,36,7266,67070891
commonsense,2010s,483,168,10,1678,14295950,2072,719,36,8647,84731684
communication,1980s,149,48,3,584,3177602,2212,774,42,6430,46072214
communication,1990s,191,69,3,643,4529684,2639,842,42,6242,52955592
communication,2000s,286,103,6,868,7141270,3713,1079,60,7266,67070891
communication,2010s,1157,235,21,1678,14295950,5271,1336,106,8647,84731684
community,1980s,311,70,9,584,3177602,5366,1207,137,6430,46072214
community,1990s,632,122,16,643,4529684,7076,1375,158,6242,52955592
community,2000s,473,128,12,868,7141270,5660,1340,126,7266,67070891
community,2010s,1214,261,26,1678,14295950,7461,1626,185,8647,84731684
comparative,1980s,76,39,1,584,3177602,1600,570,26,6430,46072214
comparative,1990s,321,55,7,643,4529684,2056,609,36,6242,52955592
comparative,2000s,257,86,5,868,7141270,2980,783,56,7266,67070891
comparative,2010s,785,216,16,1678,14295950,5066,1213,108,8647,84731684
compatibilist,1980s,66,6,2,584,3177602,435,83,12,6430,46072214
compatibilist,1990s,91,21,2,643,4529684,566,109,14,6242,52955592
compatibilist,2000s,332,45,10,868,7141270,1331,193,40,7266,67070891
compatibilist,2010s,791,81,20,1678,14295950,1723,213,50,8647,84731684
compatible,1980s,313,161,2,584,3177602,3912,1879,24,6430,46072214
compatible,1990s,525,231,7,643,4529684,5143,2081,63,6242,52955592
compatible,2000s,1010,357,17,868,7141270,7370,2787,90,7266,67070891
compatible,2010s,2411,825,38,1678,14295950,11612,3847,177,8647,84731684
competence,1980s,74,24,1,584,3177602,1389,369,29,6430,46072214
competence,1990s,197,44,5,643,4529684,1644,366,32,6242,52955592
competence,2000s,360,73,7,868,7141270,2898,538,59,7266,67070891
competence,2010s,1223,165,27,1678,14295950,4162,733,84,8647,84731684
competent,1980s,66,28,1,584,3177602,910,375,20,6430,46072214
competent,1990s,274,64,9,643,4529684,1294,473,22,6242,52955592
competent,2000s,486,117,13,868,7141270,2443,727,48,7266,67070891
competent,2010s,857,234,18,1678,14295950,3801,960,77,8647,84731684
complete,1980s,688,203,13,584,3177602,8078,2758,122,6430,46072214
complete,1990s,680,262,6,643,4529684,8780,2933,129,6242,52955592
complete,2000s,1040,362,16,868,7141270,10613,3443,184,7266,67070891
complete,2010s,1675,672,27,1678,14295950,11956,3869,205,8647,84731684
completely,1980s,354,195,2,584,3177602,4549,2257,20,6430,46072214
completely,1990s,418,228,1,643,4529684,5228,2510,25,6242,52955592
completely,2000s,661,341,4,868,7141270,6196,2886,36,7266,67070891
completely,2010s,1389,654,10,1678,14295950,7207,3361,46,8647,84731684
complex,1980s,702,231,11,584,3177602,9391,2859,160,6430,46072214
complex,1990s,1035,296,19,643,4529684,10584,3019,185,6242,52955592
complex,2000s,2139,406,38,868,7141270,15704,3609,298,7266,67070891
complex,2010s,3234,814,63,1678,14295950,17099,4393,344,8647,84731684
component,1980s,267,105,3,584,3177602,3360,1325,45,6430,46072214
component,1990s,333,149,3,643,4529684,4089,1549,47,6242,52955592
component,2000s,737,229,16,868,7141270,5904,1890,103,7266,67070891
component,2010s,1161,422,20,1678,14295950,6885,2274,109,8647,84731684
components,1980s,227,85,5,584,3177602,2820,1159,36,6430,46072214
components,1990s,279,118,3,643,4529684,3118,1252,36,6242,52955592
components,2000s,375,163,5,868,7141270,4545,1570,63,7266,67070891
components,2010s,747,326,7,1678,14295950,6171,1916,113,8647,84731684
composed,1980s,133,65,2,584,3177602,1642,788,19,6430,46072214
composed,1990s,236,100,2,643,4529684,2183,913,30,6242,52955592
composed,2000s,354,140,6,868,7141270,2961,1165,43,7266,67070891
composed,2010s,754,265,11,1678,14295950,3832,1477,55,8647,84731684
composition,1980s,81,38,1,584,3177602,1216,517,20,6430,46072214
composition,1990s,373,65,5,643,4529684,2438,638,51,6242,52955592
composition,2000s,507,93,9,868,7141270,4832,900,98,7266,67070891
composition,2010s,1268,196,31,1678,14295950,6143,1175,137,8647,84731684
compositional,1980s,33,9,1,584,3177602,335,126,5,6430,46072214
compositional,1990s,256,36,6,643,4529684,1736,304,40,6242,52955592
compositional,2000s,151,35,5,868,7141270,1907,398,50,7266,67070891
compositional,2010s,586,94,14,1678,14295950,3495,594,86,8647,84731684
computational,1980s,64,23,0,584,3177602,1418,278,26,6430,46072214
computational,1990s,257,51,9,643,4529684,3653,550,88,6242,52955592
computational,2000s,341,48,5,868,7141270,3828,631,73,7266,67070891
computational,2010s,359,100,6,1678,14295950,4446,828,82,8647,84731684
con,1980s,1327,427,19,584,3177602,20629,4680,448,6430,46072214
con,1990s,1170,436,5,643,4529684,20935,4509,499,6242,52955592
con,2000s,1556,341,34,868,7141270,18898,4314,421,7266,67070891
con,2010s,242,166,1,1678,14295950,19439,5032,350,8647,84731684
conceivability,1980s,15,8,0,584,3177602,133,70,1,6430,46072214
conceivability,1990s,27,7,1,643,4529684,567,90,9,6242,52955592
conceivability,2000s,346,38,10,868,7141270,1394,174,36,7266,67070891
conceivability,2010s,575,83,15,1678,14295950,1943,305,45,8647,84731684
concept,1980s,1572,308,40,584,3177602,23506,3650,620,6430,46072214
concept,1990s,2498,332,59,643,4529684,26013,3509,677,6242,52955592
concept,2000s,4267,482,103,868,7141270,34502,4066,872,7266,67070891
concept,2010s,6680,831,149,1678,14295950,34385,4553,783,8647,84731684
conception,1980s,878,208,19,584,3177602,14358,2732,369,6430,46072214
conception,1990s,1385,311,35,643,4529684,17336,3044,492,6242,52955592
conception,2000s,1719,410,43,868,7141270,18796,3431,521,7266,67070891
conception,2010s,3746,790,93,1678,14295950,20502,3955,498,8647,84731684
conceptions,1980s,110,52,2,584,3177602,2938,1012,55,6430,46072214
conceptions,1990s,281,111,4,643,4529684,3753,1226,66,6242,52955592
conceptions,2000s,306,150,4,868,7141270,3655,1362,59,7266,67070891
conceptions,2010s,745,311,8,1678,14295950,3953,1601,49,8647,84731684
concepts,1980s,1072,209,18,584,3177602,15071,2678,369,6430,46072214
concepts,1990s,1865,275,41,643,4529684,18914,2804,458,6242,52955592
concepts,2000s,3719,399,72,868,7141270,27233,3237,567,7266,67070891
concepts,2010s,6457,720,121,1678,14295950,29379,3691,581,8647,84731684
conceptual,1980s,600,141,14,584,3177602,7881,2041,168,6430,46072214
conceptual,1990s,979,242,23,643,4529684,11149,2401,235,6242,52955592
conceptual,2000s,1961,341,54,868,7141270,14058,2837,321,7266,67070891
conceptual,2010s,3564,691,80,1678,14295950,16876,3511,359,8647,84731684
conceptually,1980s,114,61,0,584,3177602,1178,676,6,6430,46072214
conceptually,1990s,156,75,2,643,4529684,1544,770,13,6242,52955592
conceptually,2000s,372,131,9,868,7141270,2286,1085,24,7266,67070891
conceptually,2010s,627,269,8,1678,14295950,2839,1341,32,8647,84731684
concern,1980s,549,189,6,584,3177602,7591,2849,90,6430,46072214
concern,1990s,734,305,9,643,4529684,8963,3016,125,6242,52955592
concern,2000s,1031,404,9,868,7141270,10282,3445,130,7266,67070891
concern,2010s,2349,898,19,1678,14295950,12879,4500,159,8647,84731684
concerned,1980s,461,226,2,584,3177602,7912,3296,52,6430,46072214
concerned,1990s,689,314,5,643,4529684,7626,3176,45,6242,52955592
concerned,2000s,1016,454,6,868,7141270,8465,3620,58,7266,67070891
concerned,2010s,1665,826,2,1678,14295950,9234,4212,48,8647,84731684
concerning,1980s,668,274,4,584,3177602,8818,3060,110,6430,46072214
concerning,1990s,899,329,9,643,4529684,9199,3159,128,6242,52955592
concerning,2000s,1485,448,24,868,7141270,10884,3525,153,7266,67070891
concerning,2010s,2838,872,46,1678,14295950,13745,4379,229,8647,84731684
concerns,1980s,286,162,2,584,3177602,4502,2313,17,6430,46072214
concerns,1990s,536,280,3,643,4529684,6163,2757,47,6242,52955592
concerns,2000s,1154,439,8,868,7141270,8604,3419,56,7266,67070891
concerns,2010s,2423,904,19,1678,14295950,11893,4508,98,8647,84731684
conclude,1980s,542,282,1,584,3177602,5502,2897,12,6430,46072214
conclude,1990s,645,320,2,643,4529684,6102,3016,18,6242,52955592
conclude,2000s,1185,509,7,868,7141270,8570,3859,36,7266,67070891
conclude,2010s,2252,970,5,1678,14295950,10765,4719,58,8647,84731684
conclusion,1980s,1270,380,19,584,3177602,13576,4052,215,6430,46072214
conclusion,1990s,1606,462,24,643,4529684,16524,4319,305,6242,52955592
conclusion,2000s,3003,648,57,868,7141270,22238,5485,431,7266,67070891
conclusion,2010s,5792,1393,118,1678,14295950,28613,7004,561,8647,84731684
conclusions,1980s,267,134,3,584,3177602,3614,1739,27,6430,46072214
conclusions,1990s,304,168,0,643,4529684,3990,1856,34,6242,52955592
conclusions,2000s,549,256,6,868,7141270,5409,2348,54,7266,67070891
conclusions,2010s,1086,486,13,1678,14295950,6460,2792,72,8647,84731684
concrete,1980s,281,75,8,584,3177602,2982,1101,53,6430,46072214
concrete,1990s,332,109,6,643,4529684,3840,1192,67,6242,52955592
concrete,2000s,490,162,10,868,7141270,5288,1458,97,7266,67070891
concrete,2010s,1395,320,29,1678,14295950,7695,2029,151,8647,84731684
condition,1980s,1923,339,58,584,3177602,20600,3712,582,6430,46072214
condition,1990s,2288,387,57,643,4529684,22367,3770,624,6242,52955592
condition,2000s,3026,516,81,868,7141270,28496,4494,802,7266,67070891
condition,2010s,7059,1052,186,1678,14295950,37614,5481,1040,8647,84731684
conditional,1980s,756,125,17,584,3177602,8979,1365,210,6430,46072214
conditional,1990s,1351,171,30,643,4529684,10584,1551,252,6242,52955592
conditional,2000s,1722,261,36,868,7141270,15319,2067,342,7266,67070891
conditional,2010s,3244,560,80,1678,14295950,21214,2868,501,8647,84731684
conditionals,1980s,319,58,8,584,3177602,4402,553,93,6430,46072214
conditionals,1990s,458,77,12,643,4529684,5361,648,122,6242,52955592
conditionals,2000s,873,109,18,868,7141270,5772,777,121,7266,67070891
conditionals,2010s,1563,252,31,1678,14295950,8778,1125,180,8647,84731684
conditions,1980s,2147,383,62,584,3177602,27094,4308,763,6430,46072214
conditions,1990s,3522,441,91,643,4529684,30566,4446,876,6242,52955592
conditions,2000s,4853,617,148,868,7141270,39913,5263,1204,7266,67070891
conditions,2010s,9048,1239,258,1678,14295950,45663,6469,1359,8647,84731684
conduct,1980s,208,52,6,584,3177602,3003,899,63,6430,46072214
conduct,1990s,165,58,4,643,4529684,2512,728,57,6242,52955592
conduct,2000s,201,80,4,868,7141270,2507,825,57,7266,67070891
conduct,2010s,640,193,13,1678,14295950,3244,987,67,8647,84731684
confidence,1980s,139,51,2,584,3177602,1974,754,28,6430,46072214
confidence,1990s,226,83,2,643,4529684,2387,837,37,6242,52955592
confidence,2000s,413,114,10,868,7141270,2649,933,49,7266,67070891
confidence,2010s,1063,251,26,1678,14295950,5494,1283,118,8647,84731684
confident,1980s,62,42,0,584,3177602,820,506,7,6430,46072214
confident,1990s,136,64,2,643,4529684,921,578,5,6242,52955592
confident,2000s,425,109,4,868,7141270,1587,768,14,7266,67070891
confident,2010s,738,262,13,1678,14295950,3301,1155,64,8647,84731684
confirmation,1980s,197,37,5,584,3177602,2404,593,52,6430,46072214
confirmation,1990s,347,55,8,643,4529684,3251,622,59,6242,52955592
confirmation,2000s,230,65,3,868,7141270,3608,664,84,7266,67070891
confirmation,2010s,825,130,13,1678,14295950,5664,819,109,8647,84731684
conflict,1980s,408,135,3,584,3177602,6239,1803,119,6430,46072214
conflict,1990s,436,155,6,643,4529684,5681,1800,96,6242,52955592
conflict,2000s,683,227,13,868,7141270,5703,1930,89,7266,67070891
conflict,2010s,1753,464,26,1678,14295950,7481,2335,122,8647,84731684
conjunction,1980s,432,159,6,584,3177602,4353,1616,58,6430,46072214
conjunction,1990s,520,190,3,643,4529684,5327,1722,81,6242,52955592
conjunction,2000s,703,257,9,868,7141270,6798,2139,118,7266,67070891
conjunction,2010s,1836,497,41,1678,14295950,9766,2627,194,8647,84731684
connected,1980s,219,125,0,584,3177602,3618,1738,24,6430,46072214
connected,1990s,401,179,3,643,4529684,4391,1866,39,6242,52955592
connected,2000s,560,259,6,868,7141270,4760,2170,45,7266,67070891
connected,2010s,1073,469,14,1678,14295950,6265,2634,74,8647,84731684
connection,1980s,684,240,8,584,3177602,8737,2930,117,6430,46072214
connection,1990s,1093,298,24,643,4529684,10021,3039,165,6242,52955592
connection,2000s,1448,424,29,868,7141270,11312,3460,178,7266,67070891
connection,2010s,2743,824,44,1678,14295950,13992,4202,234,8647,84731684
connections,1980s,205,93,3,584,3177602,2995,1215,41,6430,46072214
connections,1990s,401,138,7,643,4529684,3556,1314,49,6242,52955592
connections,2000s,531,194,9,868,7141270,3768,1521,55,7266,67070891
connections,2010s,870,341,11,1678,14295950,4791,1859,72,8647,84731684
conscious,1980s,474,61,6,584,3177602,4007,1042,72,6430,46072214
conscious,1990s,813,111,18,643,4529684,6142,1103,134,6242,52955592
conscious,2000s,2080,204,46,868,7141270,10735,1337,206,7266,67070891
conscious,2010s,3955,420,92,1678,14295950,12332,1640,274,8647,84731684
consciousness,1980s,397,54,5,584,3177602,6145,1011,143,6430,46072214
consciousness,1990s,532,99,12,643,4529684,7116,1074,160,6242,52955592
consciousness,2000s,2280,194,45,868,7141270,11809,1266,240,7266,67070891
consciousness,2010s,4558,396,93,1678,14295950,13443,1499,290,8647,84731684
consent,1980s,127,16,3,584,3177602,1722,304,36,6430,46072214
consent,1990s,30,19,0,643,4529684,1789,272,43,6242,52955592
consent,2000s,27,18,0,868,7141270,1720,294,36,7266,67070891
consent,2010s,722,54,7,1678,14295950,4365,344,57,8647,84731684
consequence,1980s,586,247,7,584,3177602,7498,2838,81,6430,46072214
consequence,1990s,1040,296,19,643,4529684,9361,2957,132,6242,52955592
consequence,2000s,1255,423,18,868,7141270,11687,3498,174,7266,67070891
consequence,2010s,2517,748,40,1678,14295950,15348,4066,247,8647,84731684
consequences,1980s,838,214,14,584,3177602,8472,2657,137,6430,46072214
consequences,1990s,862,281,12,643,4529684,8419,2763,129,6242,52955592
consequences,2000s,1229,342,19,868,7141270,9459,3145,135,7266,67070891
consequences,2010s,2117,688,25,1678,14295950,11919,3792,199,8647,84731684
consequent,1980s,150,75,1,584,3177602,1929,848,23,6430,46072214
consequent,1990s,250,83,7,643,4529684,2269,867,42,6242,52955592
consequent,2000s,414,125,9,868,7141270,2566,986,37,7266,67070891
consequent,2010s,604,202,11,1678,14295950,3223,1033,66,8647,84731684
consequentialism,1980s,126,12,4,584,3177602,1063,143,31,6430,46072214
consequentialism,1990s,279,26,7,643,4529684,1830,249,49,6242,52955592
consequentialism,2000s,295,44,7,868,7141270,2452,271,56,7266,67070891
consequentialism,2010s,757,90,17,1678,14295950,3283,407,76,8647,84731684
consequentialist,1980s,134,22,3,584,3177602,1227,233,26,6430,46072214
consequentialist,1990s,202,30,5,643,4529684,1736,288,38,6242,52955592
consequentialist,2000s,213,52,5,868,7141270,2050,317,48,7266,67070891
consequentialist,2010s,486,92,10,1678,14295950,2009,416,48,8647,84731684
consequently,1980s,250,139,0,584,3177602,3256,1598,13,6430,46072214
consequently,1990s,351,152,1,643,4529684,3391,1549,21,6242,52955592
consequently,2000s,517,220,3,868,7141270,4289,1883,31,7266,67070891
consequently,2010s,886,396,7,1678,14295950,4991,2194,44,8647,84731684
consider,1980s,2145,499,47,584,3177602,23147,5276,480,6430,46072214
consider,1990s,2938,562,66,643,4529684,27717,5371,689,6242,52955592
consider,2000s,5097,809,150,868,7141270,38262,6465,1149,7266,67070891
consider,2010s,10757,1589,386,1678,14295950,55156,7990,1933,8647,84731684
consideration,1980s,388,209,3,584,3177602,4722,2381,36,6430,46072214
consideration,1990s,407,224,3,643,4529684,4793,2275,30,6242,52955592
consideration,2000s,728,360,4,868,7141270,6352,2873,53,7266,67070891
consideration,2010s,1690,701,20,1678,14295950,8063,3497,72,8647,84731684
considerations,1980s,660,243,8,584,3177602,8564,2974,127,6430,46072214
considerations,1990s,770,308,5,643,4529684,8970,3057,115,6242,52955592
considerations,2000s,1669,473,32,868,7141270,12505,3665,216,7266,67070891
considerations,2010s,3700,965,81,1678,14295950,16850,4741,296,8647,84731684
considered,1980s,707,266,10,584,3177602,8924,3383,93,6430,46072214
considered,1990s,798,323,6,643,4529684,9421,3353,108,6242,52955592
considered,2000s,1319,492,18,868,7141270,11845,4161,135,7266,67070891
considered,2010s,2591,986,25,1678,14295950,15272,5294,158,8647,84731684
considering,1980s,345,200,0,584,3177602,3729,2254,6,6430,46072214
considering,1990s,485,255,2,643,4529684,4289,2376,7,6242,52955592
considering,2000s,897,431,4,868,7141270,6168,3167,22,7266,67070891
considering,2010s,1833,840,12,1678,14295950,8834,4215,34,8647,84731684
consistency,1980s,310,87,7,584,3177602,3076,1026,56,6430,46072214
consistency,1990s,240,83,5,643,4529684,3480,1056,68,6242,52955592
consistency,2000s,315,113,6,868,7141270,4287,1198,88,7266,67070891
consistency,2010s,802,208,13,1678,14295950,4844,1377,101,8647,84731684
consistent,1980s,646,211,10,584,3177602,7302,2493,111,6430,46072214
consistent,1990s,816,272,14,643,4529684,9029,2834,144,6242,52955592
consistent,2000s,1177,400,19,868,7141270,12240,3433,217,7266,67070891
consistent,2010s,2460,810,38,1678,14295950,14330,4227,251,8647,84731684
consists,1980s,326,181,0,584,3177602,4880,2342,21,6430,46072214
consists,1990s,436,215,4,643,4529684,5541,2451,31,6242,52955592
consists,2000s,691,316,6,868,7141270,6768,2926,49,7266,67070891
consists,2010s,1324,621,10,1678,14295950,7790,3476,51,8647,84731684
constant,1980s,169,80,0,584,3177602,4001,1397,66,6430,46072214
constant,1990s,203,103,1,643,4529684,3866,1411,55,6242,52955592
constant,2000s,388,149,7,868,7141270,5053,1770,83,7266,67070891
constant,2010s,661,254,10,1678,14295950,6057,1963,113,8647,84731684
constituent,1980s,199,55,5,584,3177602,2101,667,41,6430,46072214
constituent,1990s,257,95,5,643,4529684,2646,787,52,6242,52955592
constituent,2000s,317,121,5,868,7141270,3344,949,68,7266,67070891
constituent,2010s,925,220,23,1678,14295950,3352,988,74,8647,84731684
constituents,1980s,230,56,3,584,3177602,2347,684,51,6430,46072214
constituents,1990s,322,93,4,643,4529684,2988,832,60,6242,52955592
constituents,2000s,452,108,9,868,7141270,4266,970,102,7266,67070891
constituents,2010s,1144,233,28,1678,14295950,3907,1079,86,8647,84731684
constitute,1980s,374,200,1,584,3177602,4502,2361,15,6430,46072214
constitute,1990s,494,248,2,643,4529684,5134,2453,25,6242,52955592
constitute,2000s,722,352,3,868,7141270,6462,2858,53,7266,67070891
constitute,2010s,1590,659,14,1678,14295950,8107,3475,68,8647,84731684
constituted,1980s,107,60,1,584,3177602,1655,908,13,6430,46072214
constituted,1990s,245,101,4,643,4529684,2637,1108,32,6242,52955592
constituted,2000s,480,182,9,868,7141270,3538,1416,48,7266,67070891
constituted,2010s,941,394,18,1678,14295950,4445,1664,74,8647,84731684
constitutes,1980s,218,135,1,584,3177602,3168,1795,6,6430,46072214
constitutes,1990s,339,186,2,643,4529684,3591,1899,16,6242,52955592
constitutes,2000s,521,249,4,868,7141270,4379,2149,30,7266,67070891
constitutes,2010s,1017,521,9,1678,14295950,5336,2658,33,8647,84731684
constitution,1980s,77,25,3,584,3177602,1282,553,16,6430,46072214
constitution,1990s,107,57,0,643,4529684,2537,742,35,6242,52955592
constitution,2000s,511,110,14,868,7141270,4020,915,69,7266,67070891
constitution,2010s,695,201,18,1678,14295950,4226,1052,82,8647,84731684
constitutive,1980s,145,40,2,584,3177602,1637,619,24,6430,46072214
constitutive,1990s,294,87,9,643,4529684,2459,871,47,6242,52955592
constitutive,2000s,605,164,14,868,7141270,4741,1178,96,7266,67070891
constitutive,2010s,1902,379,37,1678,14295950,7270,1679,147,8647,84731684
constraint,1980s,199,68,3,584,3177602,3563,951,81,6430,46072214
constraint,1990s,368,126,8,643,4529684,5177,1376,121,6242,52955592
constraint,2000s,1022,213,22,868,7141270,7099,1735,146,7266,67070891
constraint,2010s,2128,459,51,1678,14295950,10980,2394,252,8647,84731684
constraints,1980s,305,95,8,584,3177602,5743,1426,118,6430,46072214
constraints,1990s,491,168,10,643,4529684,6248,1847,122,6242,52955592
constraints,2000s,778,234,17,868,7141270,7810,2105,155,7266,67070891
constraints,2010s,1474,474,30,1678,14295950,10821,2900,227,8647,84731684
construction,1980s,201,92,2,584,3177602,4820,1493,84,6430,46072214
construction,1990s,230,98,4,643,4529684,5076,1522,92,6242,52955592
construction,2000s,249,108,4,868,7141270,5850,1695,114,7266,67070891
construction,2010s,886,271,14,1678,14295950,7439,2028,138,8647,84731684
construed,1980s,345,172,2,584,3177602,3245,1641,15,6430,46072214
construed,1990s,351,184,1,643,4529684,3188,1610,18,6242,52955592
construed,2000s,371,194,1,868,7141270,2988,1657,6,7266,67070891
construed,2010s,741,381,4,1678,14295950,3357,1796,9,8647,84731684
contain,1980s,341,174,0,584,3177602,4662,2093,30,6430,46072214
