word,decade,count,appear,topic,ps_articles,ps_words,t20_count,t20_appear,t20_topic,t20_articles,t20_words
accounts,1990s,740,291,7,643,4529684,8057,2661,124,6242,52955592
accounts,2000s,1699,470,37,868,7141270,12289,3448,234,7266,67070891
accounts,2010s,4604,1011,121,1678,14295950,20707,4757,505,8647,84731684
acquaintance,1980s,67,25,1,584,3177602,1340,348,25,6430,46072214
acquaintance,1990s,77,32,2,643,4529684,1018,330,15,6242,52955592
acquaintance,2000s,381,66,8,868,7141270,2089,423,43,7266,67070891
acquaintance,2010s,828,123,22,1678,14295950,2920,480,55,8647,84731684
acquainted,1980s,42,17,0,584,3177602,591,275,9,6430,46072214
acquainted,1990s,55,25,1,643,4529684,724,292,8,6242,52955592
acquainted,2000s,161,53,4,868,7141270,1168,347,23,7266,67070891
acquainted,2010s,599,103,15,1678,14295950,1454,390,27,8647,84731684
acquire,1980s,159,72,2,584,3177602,1792,972,10,6430,46072214
acquire,1990s,242,120,1,643,4529684,2278,1084,21,6242,52955592
acquire,2000s,493,168,8,868,7141270,3126,1304,41,7266,67070891
acquire,2010s,782,311,9,1678,14295950,3647,1477,50,8647,84731684
acquired,1980s,147,54,2,584,3177602,1842,882,14,6430,46072214
acquired,1990s,274,103,3,643,4529684,2072,909,22,6242,52955592
acquired,2000s,360,143,10,868,7141270,2780,1058,54,7266,67070891
acquired,2010s,584,248,10,1678,14295950,2759,1191,32,8647,84731684
acquisition,1980s,148,34,4,584,3177602,1563,557,30,6430,46072214
acquisition,1990s,171,60,2,643,4529684,2065,596,43,6242,52955592
acquisition,2000s,361,95,8,868,7141270,2305,683,42,7266,67070891
acquisition,2010s,484,146,10,1678,14295950,1963,749,29,8647,84731684
across,1980s,156,84,0,584,3177602,2358,1185,18,6430,46072214
across,1990s,303,148,3,643,4529684,3696,1648,36,6242,52955592
across,2000s,825,305,10,868,7141270,6426,2412,91,7266,67070891
across,2010s,1937,694,27,1678,14295950,10580,3477,161,8647,84731684
act,1980s,1919,239,62,584,3177602,23092,3030,645,6430,46072214
act,1990s,1894,275,56,643,4529684,19997,2913,558,6242,52955592
act,2000s,3131,428,90,868,7141270,24512,3255,665,7266,67070891
act,2010s,6754,866,199,1678,14295950,32957,4293,896,8647,84731684
acting,1980s,472,113,12,584,3177602,5294,1525,96,6430,46072214
acting,1990s,427,134,11,643,4529684,5071,1439,114,6242,52955592
acting,2000s,959,210,18,868,7141270,6232,1665,123,7266,67070891
acting,2010s,1521,427,39,1678,14295950,8436,2134,184,8647,84731684
action,1980s,2978,251,75,584,3177602,29365,2960,773,6430,46072214
action,1990s,3115,287,81,643,4529684,28680,2828,696,6242,52955592
action,2000s,6160,396,142,868,7141270,37181,3175,890,7266,67070891
action,2010s,11309,834,285,1678,14295950,52667,4248,1191,8647,84731684
actions,1980s,1783,194,45,584,3177602,16143,2321,467,6430,46072214
actions,1990s,1531,207,53,643,4529684,14487,2201,410,6242,52955592
actions,2000s,2786,331,82,868,7141270,19281,2496,532,7266,67070891
actions,2010s,6026,675,160,1678,14295950,27655,3266,738,8647,84731684
activities,1980s,164,57,2,584,3177602,3158,1125,52,6430,46072214
activities,1990s,136,74,0,643,4529684,2726,1037,32,6242,52955592
